fips,is_hov,trips,users,revenue,am_peak_trips,pm_peak_trips,rev_comm_trips,off_peak_trips,vmt,savings,reliability,savings_benefit,reliability_benefit,total_benefit,net_benefit,county,tract,households,population,mean_inc,race_nonhisp_asian,race_nonhisp_white
530330323112,0,84,36,189.75,14,36,17,15,418.61,5.257277777777776,2.4261583333333343,279.59500345242304,64.26131970956207,343.85632316198513,154.10632316198513,King,53033032311,540,1627,158942.8351851852,0.04240934234787953,0.7590657652120467
530330323112,1,17,14,0,4,6,2,5,80.35,4.547861111111112,1.448630555555556,241.86647478226524,38.369676864286575,280.23615164655183,280.23615164655183,King,53033032311,540,1627,158942.8351851852,0.04240934234787953,0.7590657652120467
530330323113,0,19,15,51,2,6,3,8,111.24000000000001,1.227166666666667,0.36223333333333346,65.26375110968475,9.594424124336637,74.85817523402139,23.858175234021388,King,53033032311,311,993,136660.4276527331,0.12487411883182276,0.8751258811681772
530330323113,1,8,8,0,0,2,1,5,53.75,1.8936666666666653,0.5641972222222227,100.70986555863607,14.943813673799418,115.65367923243548,115.65367923243548,King,53033032311,311,993,136660.4276527331,0.12487411883182276,0.8751258811681772
530330323114,0,72,41,181.25,11,20,8,28,387.45,4.647833333333334,2.278311111111112,247.18324422053215,60.345310813992775,307.5285550345249,126.27855503452491,King,53033032311,446,1395,180139.5403587444,0,0.7125448028673835
530330323114,1,24,12,0,2,2,3,17,102.47,1.424083333333334,1.0318638888888894,75.73626529358977,27.330835893772086,103.06710118736186,103.06710118736186,King,53033032311,446,1395,180139.5403587444,0,0.7125448028673835
530330323115,0,60,35,110.5,1,15,15,27,282.71,2.0673611111111114,1.3783194444444449,109.94736466880092,36.50735620360738,146.4547208724083,35.9547208724083,King,53033032311,365,1032,182941.08493150686,0,1
530330323115,1,18,13,0,0,1,7,9,58.95,1.928277777777777,1.238094444444445,102.55056984318196,32.793236052226774,135.34380589540874,135.34380589540874,King,53033032311,365,1032,182941.08493150686,0,1
530330323131,0,21,18,35,1,4,8,8,107.15,0.8152499999999998,0.5346777777777779,43.35700645837604,14.161936237759678,57.51894269613572,22.518942696135717,King,53033032313,257,872,138610.67704280154,0.22935779816513763,0.6307339449541285
530330323131,1,6,5,0,0,0,4,2,36.35,0.05555555555555564,0.17329444444444445,2.9545815161249864,4.590025945683148,7.544607461808134,7.544607461808134,King,53033032313,257,872,138610.67704280154,0.22935779816513763,0.6307339449541285
530330323132,0,42,31,101.75,8,9,8,15,238.86,1.4980555555555553,0.7882750000000002,79.67029058231012,20.878930735101115,100.54922131741122,-1.2007786825887763,King,53033032313,610,1172,110494.62295081967,0.22184300341296928,0.6791808873720137
530330323132,1,14,14,0,0,0,6,5,99.7,0.7404166666666676,0.9834694444444447,39.37718515615575,26.049018947250556,65.4262041034063,65.4262041034063,King,53033032313,610,1172,110494.62295081967,0.22184300341296928,0.6791808873720137
530330323133,0,13,8,18.75,0,2,2,9,54.69,0.27516666666666617,0.14576388888888897,14.63404224936701,3.8608279341474576,18.494870183514468,-0.2551298164855318,King,53033032313,261,838,207917.11111111112,0.6181384248210023,0.3424821002386635
530330323133,1,25,8,0,0,5,11,9,132.29,1.6773333333333322,1.5119833333333337,89.2047251348454,40.04769311381684,129.25241824866225,129.25241824866225,King,53033032313,261,838,207917.11111111112,0.6181384248210023,0.3424821002386635
530330323134,0,58,28,84.75,8,12,14,22,341.51,1.9857777777777776,1.0474027777777781,105.60856171237135,27.742412291363713,133.35097400373508,48.600974003735075,King,53033032313,1330,3724,101214.4,0.5703544575725027,0.2005907626208378
530330323134,1,40,22,0,5,12,2,21,298.74,8.527222222222221,4.090441666666668,453.4987169100234,108.34296182716045,561.8416787371839,561.8416787371839,King,53033032313,1330,3724,101214.4,0.5703544575725027,0.2005907626208378
530330323151,0,44,35,74.5,4,1,20,18,248.71,1.3794722222222209,0.7074444444444445,73.3637363361413,18.737983006549292,92.10171934269059,17.601719342690586,King,53033032315,763,1862,194465.52293577982,0.04618689581095596,0.859828141783029
530330323151,1,21,11,0,0,6,7,7,144.3,2.3004166666666652,1.2050388888888894,122.34183412894511,31.917698131000382,154.2595322599455,154.2595322599455,King,53033032315,763,1862,194465.52293577982,0.04618689581095596,0.859828141783029
530330323152,0,32,24,50.5,6,6,6,13,161.13,1.1271388888888885,0.588852777777778,59.944027089901674,15.596861958572978,75.54088904847465,25.040889048474654,King,53033032315,614,1670,130523.82736156351,0.0562874251497006,0.844311377245509
530330323152,1,2,2,0,0,0,0,2,14.37,0.126,0.03466111111111119,6.700990878571459,0.9180640488288149,7.619054927400274,7.619054927400274,King,53033032315,614,1670,130523.82736156351,0.0562874251497006,0.844311377245509
530330323153,0,25,22,35.5,1,7,7,9,117.32,0.8636388888888888,0.4490222222222223,45.9304469589209,11.893189402554894,57.8236363614758,22.3236363614758,King,53033032315,681,1952,178901.80323054333,0.0630122950819672,0.8427254098360656
530330323153,1,18,15,0,2,4,6,6,138.31,2.3278333333333325,1.225891666666667,123.79992010715283,32.47002276752529,156.26994287467812,156.26994287467812,King,53033032315,681,1952,178901.80323054333,0.0630122950819672,0.8427254098360656
530330323161,0,24,16,40.5,4,2,8,9,197.45,0.47386111111111073,0.37436111111111114,25.201103041788013,9.91565089442692,35.116753936214934,-5.383246063785066,King,53033032316,235,735,179183.6170212766,0.3251700680272109,0.6149659863945578
530330323161,1,4,2,0,0,1,0,3,13.129999999999999,0.06519444444444454,0.07381111111111113,3.4672014091726715,1.955024675867865,5.422226085040537,5.422226085040537,King,53033032316,235,735,179183.6170212766,0.3251700680272109,0.6149659863945578
530330323162,0,42,26,88.75,2,8,9,21,316.09,1.4080000000000006,0.8151138888888892,74.88091394467158,21.589808667444764,96.47072261211633,7.720722612116333,King,53033032316,539,1607,166328.97217068647,0.2850031113876789,0.6888612321095209
